"subject" "activity" "v1"
"137" 3 "walkingdownstairs" 3
"138" 3 "walkingdownstairs" 3
"139" 3 "walkingdownstairs" 3
"140" 3 "walkingdownstairs" 3
"141" 3 "walkingdownstairs" 3
"142" 3 "walkingdownstairs" 3
"143" 3 "walkingdownstairs" 3
"144" 3 "walkingdownstairs" 3
"145" 3 "walkingdownstairs" 3
"146" 3 "walkingdownstairs" 3
"147" 3 "walkingdownstairs" 3
"148" 3 "walkingdownstairs" 3
"149" 3 "walkingdownstairs" 3
"150" 3 "walkingdownstairs" 3
"151" 2 "walkingupstairs" 2
"152" 2 "walkingupstairs" 2
"153" 2 "walkingupstairs" 2
"154" 2 "walkingupstairs" 2
"155" 2 "walkingupstairs" 2
"156" 2 "walkingupstairs" 2
"157" 2 "walkingupstairs" 2
"158" 2 "walkingupstairs" 2
"159" 2 "walkingupstairs" 2
"160" 2 "walkingupstairs" 2
"161" 2 "walkingupstairs" 2
"162" 2 "walkingupstairs" 2
"163" 2 "walkingupstairs" 2
"164" 2 "walkingupstairs" 2
"165" 2 "walkingupstairs" 2
"166" 2 "walkingupstairs" 2
"167" 2 "walkingupstairs" 2
"168" 2 "walkingupstairs" 2
"169" 2 "walkingupstairs" 2
"170" 2 "walkingupstairs" 2
"171" 2 "walkingupstairs" 2
"172" 2 "walkingupstairs" 2
"173" 2 "walkingupstairs" 2
"174" 2 "walkingupstairs" 2
"175" 2 "walkingupstairs" 2
"176" 2 "walkingupstairs" 2
"177" 5 "standing" 5
"178" 5 "standing" 5
"179" 5 "standing" 5
"180" 5 "standing" 5
"181" 5 "standing" 5
"182" 5 "standing" 5
"183" 5 "standing" 5
"184" 5 "standing" 5
"185" 5 "standing" 5
"186" 5 "standing" 5
"187" 5 "standing" 5
"188" 5 "standing" 5
"189" 5 "standing" 5
"190" 5 "standing" 5
"191" 5 "standing" 5
"192" 5 "standing" 5
"193" 5 "standing" 5
"194" 5 "standing" 5
"195" 5 "standing" 5
"196" 5 "standing" 5
"197" 5 "standing" 5
"198" 5 "standing" 5
"199" 5 "standing" 5
"200" 5 "standing" 5
"201" 5 "standing" 5
"202" 5 "standing" 5
"203" 4 "sitting" 4
"204" 4 "sitting" 4
"205" 4 "sitting" 4
"206" 4 "sitting" 4
"207" 4 "sitting" 4
"208" 4 "sitting" 4
"209" 4 "sitting" 4
"210" 4 "sitting" 4
"211" 4 "sitting" 4
"212" 4 "sitting" 4
"213" 4 "sitting" 4
"214" 6 "laying" 6
"215" 6 "laying" 6
"216" 6 "laying" 6
"217" 6 "laying" 6
"218" 6 "laying" 6
"219" 6 "laying" 6
"220" 6 "laying" 6
"221" 6 "laying" 6
"222" 6 "laying" 6
"223" 6 "laying" 6
"224" 6 "laying" 6
"225" 6 "laying" 6
"226" 4 "sitting" 4
"227" 4 "sitting" 4
"228" 4 "sitting" 4
"229" 4 "sitting" 4
"230" 4 "sitting" 4
"231" 4 "sitting" 4
"232" 4 "sitting" 4
"233" 4 "sitting" 4
"234" 4 "sitting" 4
"235" 4 "sitting" 4
"236" 4 "sitting" 4
"237" 4 "sitting" 4
"238" 6 "laying" 6
"239" 6 "laying" 6
"240" 6 "laying" 6
"241" 6 "laying" 6
"242" 6 "laying" 6
"243" 6 "laying" 6
"244" 6 "laying" 6
"245" 6 "laying" 6
"246" 6 "laying" 6
"247" 6 "laying" 6
"248" 6 "laying" 6
"249" 1 "walking" 1
"250" 1 "walking" 1
"251" 1 "walking" 1
"252" 1 "walking" 1
"253" 1 "walking" 1
"254" 1 "walking" 1
"255" 1 "walking" 1
"256" 1 "walking" 1
"257" 1 "walking" 1
"258" 1 "walking" 1
"259" 1 "walking" 1
"260" 1 "walking" 1
"261" 1 "walking" 1
"262" 1 "walking" 1
"263" 1 "walking" 1
"264" 1 "walking" 1
"265" 1 "walking" 1
"266" 1 "walking" 1
"267" 1 "walking" 1
"268" 1 "walking" 1
"269" 1 "walking" 1
"270" 1 "walking" 1
"271" 1 "walking" 1
"272" 1 "walking" 1
"273" 1 "walking" 1
"274" 1 "walking" 1
"275" 1 "walking" 1
"276" 1 "walking" 1
"277" 1 "walking" 1
"278" 1 "walking" 1
"279" 1 "walking" 1
"280" 1 "walking" 1
"281" 1 "walking" 1
"282" 1 "walking" 1
"283" 1 "walking" 1
"284" 1 "walking" 1
"285" 1 "walking" 1
"286" 1 "walking" 1
"287" 1 "walking" 1
"288" 1 "walking" 1
"289" 1 "walking" 1
"290" 1 "walking" 1
"291" 1 "walking" 1
"292" 1 "walking" 1
"293" 1 "walking" 1
"294" 1 "walking" 1
"295" 1 "walking" 1
"296" 1 "walking" 1
"297" 3 "walkingdownstairs" 3
"298" 3 "walkingdownstairs" 3
"299" 3 "walkingdownstairs" 3
"300" 3 "walkingdownstairs" 3
"301" 3 "walkingdownstairs" 3
"302" 3 "walkingdownstairs" 3
"303" 3 "walkingdownstairs" 3
"304" 2 "walkingupstairs" 2
"305" 2 "walkingupstairs" 2
"306" 2 "walkingupstairs" 2
"307" 2 "walkingupstairs" 2
"308" 2 "walkingupstairs" 2
"309" 2 "walkingupstairs" 2
"310" 2 "walkingupstairs" 2
"311" 2 "walkingupstairs" 2
"312" 2 "walkingupstairs" 2
"313" 2 "walkingupstairs" 2
"314" 2 "walkingupstairs" 2
"315" 2 "walkingupstairs" 2
"316" 2 "walkingupstairs" 2
"317" 2 "walkingupstairs" 2
"318" 2 "walkingupstairs" 2
"319" 2 "walkingupstairs" 2
"320" 2 "walkingupstairs" 2
"321" 2 "walkingupstairs" 2
"322" 2 "walkingupstairs" 2
"323" 2 "walkingupstairs" 2
"324" 2 "walkingupstairs" 2
"325" 2 "walkingupstairs" 2
"326" 2 "walkingupstairs" 2
"327" 2 "walkingupstairs" 2
"328" 2 "walkingupstairs" 2
"329" 2 "walkingupstairs" 2
"330" 2 "walkingupstairs" 2
"331" 3 "walkingdownstairs" 3
"332" 3 "walkingdownstairs" 3
"333" 3 "walkingdownstairs" 3
"334" 3 "walkingdownstairs" 3
"335" 3 "walkingdownstairs" 3
"336" 3 "walkingdownstairs" 3
"337" 3 "walkingdownstairs" 3
"338" 3 "walkingdownstairs" 3
"339" 3 "walkingdownstairs" 3
"340" 3 "walkingdownstairs" 3
"341" 3 "walkingdownstairs" 3
"342" 3 "walkingdownstairs" 3
"343" 3 "walkingdownstairs" 3
"344" 3 "walkingdownstairs" 3
"345" 3 "walkingdownstairs" 3
"346" 3 "walkingdownstairs" 3
"347" 3 "walkingdownstairs" 3
"348" 5 "standing" 5
"349" 5 "standing" 5
"350" 5 "standing" 5
"351" 5 "standing" 5
"352" 5 "standing" 5
"353" 5 "standing" 5
"354" 5 "standing" 5
"355" 5 "standing" 5
"356" 5 "standing" 5
"357" 5 "standing" 5
"358" 5 "standing" 5
"359" 5 "standing" 5
"360" 5 "standing" 5
"361" 5 "standing" 5
"362" 5 "standing" 5
"363" 5 "standing" 5
"364" 5 "standing" 5
"365" 5 "standing" 5
"366" 5 "standing" 5
"367" 5 "standing" 5
"368" 5 "standing" 5
"369" 5 "standing" 5
"370" 5 "standing" 5
"371" 5 "standing" 5
"372" 5 "standing" 5
"373" 5 "standing" 5
"374" 5 "standing" 5
"375" 5 "standing" 5
"376" 5 "standing" 5
"377" 5 "standing" 5
"378" 5 "standing" 5
"379" 4 "sitting" 4
"380" 4 "sitting" 4
"381" 4 "sitting" 4
"382" 4 "sitting" 4
"383" 4 "sitting" 4
"384" 4 "sitting" 4
"385" 4 "sitting" 4
"386" 4 "sitting" 4
"387" 4 "sitting" 4
"388" 4 "sitting" 4
"389" 4 "sitting" 4
"390" 4 "sitting" 4
"391" 4 "sitting" 4
"392" 4 "sitting" 4
"393" 4 "sitting" 4
"394" 4 "sitting" 4
"395" 4 "sitting" 4
"396" 4 "sitting" 4
"397" 4 "sitting" 4
"398" 4 "sitting" 4
"399" 4 "sitting" 4
"400" 4 "sitting" 4
"401" 4 "sitting" 4
"402" 4 "sitting" 4
"403" 4 "sitting" 4
"404" 4 "sitting" 4
"405" 6 "laying" 6
"406" 6 "laying" 6
"407" 6 "laying" 6
"408" 6 "laying" 6
"409" 6 "laying" 6
"410" 6 "laying" 6
"411" 6 "laying" 6
"412" 6 "laying" 6
"413" 6 "laying" 6
"414" 6 "laying" 6
"415" 6 "laying" 6
"416" 6 "laying" 6
"417" 6 "laying" 6
"418" 6 "laying" 6
"419" 6 "laying" 6
"420" 6 "laying" 6
"421" 6 "laying" 6
"422" 6 "laying" 6
"423" 6 "laying" 6
"424" 6 "laying" 6
"425" 6 "laying" 6
"426" 6 "laying" 6
"427" 6 "laying" 6
"428" 6 "laying" 6
"429" 6 "laying" 6
"430" 6 "laying" 6
"431" 6 "laying" 6
"432" 6 "laying" 6
"433" 6 "laying" 6
"434" 6 "laying" 6
"435" 1 "walking" 1
"436" 1 "walking" 1
"437" 1 "walking" 1
"438" 1 "walking" 1
"439" 1 "walking" 1
"440" 1 "walking" 1
"441" 1 "walking" 1
"442" 1 "walking" 1
"443" 1 "walking" 1
"444" 1 "walking" 1
"445" 1 "walking" 1
"446" 1 "walking" 1
"447" 1 "walking" 1
"448" 1 "walking" 1
"449" 1 "walking" 1
"450" 1 "walking" 1
"451" 1 "walking" 1
"452" 1 "walking" 1
"453" 1 "walking" 1
"454" 1 "walking" 1
"455" 1 "walking" 1
"456" 1 "walking" 1
"457" 1 "walking" 1
"458" 1 "walking" 1
"459" 1 "walking" 1
"460" 1 "walking" 1
"461" 1 "walking" 1
"462" 1 "walking" 1
"463" 1 "walking" 1
"464" 1 "walking" 1
"465" 1 "walking" 1
"466" 3 "walkingdownstairs" 3
"467" 3 "walkingdownstairs" 3
"468" 3 "walkingdownstairs" 3
"469" 3 "walkingdownstairs" 3
"470" 3 "walkingdownstairs" 3
"471" 3 "walkingdownstairs" 3
"472" 3 "walkingdownstairs" 3
"473" 3 "walkingdownstairs" 3
"474" 3 "walkingdownstairs" 3
"475" 3 "walkingdownstairs" 3
"476" 3 "walkingdownstairs" 3
"477" 3 "walkingdownstairs" 3
"478" 3 "walkingdownstairs" 3
"479" 3 "walkingdownstairs" 3
"480" 3 "walkingdownstairs" 3
"481" 3 "walkingdownstairs" 3
"482" 3 "walkingdownstairs" 3
"483" 3 "walkingdownstairs" 3
"484" 3 "walkingdownstairs" 3
"485" 3 "walkingdownstairs" 3
"486" 3 "walkingdownstairs" 3
"487" 3 "walkingdownstairs" 3
"488" 3 "walkingdownstairs" 3
"489" 2 "walkingupstairs" 2
"490" 2 "walkingupstairs" 2
"491" 2 "walkingupstairs" 2
"492" 2 "walkingupstairs" 2
"493" 2 "walkingupstairs" 2
"494" 2 "walkingupstairs" 2
"495" 2 "walkingupstairs" 2
"496" 2 "walkingupstairs" 2
"497" 2 "walkingupstairs" 2
"498" 2 "walkingupstairs" 2
"499" 2 "walkingupstairs" 2
"500" 2 "walkingupstairs" 2
"501" 2 "walkingupstairs" 2
"502" 2 "walkingupstairs" 2
"503" 2 "walkingupstairs" 2
"504" 2 "walkingupstairs" 2
"505" 2 "walkingupstairs" 2
"506" 2 "walkingupstairs" 2
"507" 2 "walkingupstairs" 2
"508" 2 "walkingupstairs" 2
"509" 2 "walkingupstairs" 2
"510" 2 "walkingupstairs" 2
"511" 2 "walkingupstairs" 2
"512" 2 "walkingupstairs" 2
"513" 2 "walkingupstairs" 2
"514" 2 "walkingupstairs" 2
"515" 2 "walkingupstairs" 2
"516" 2 "walkingupstairs" 2
"517" 2 "walkingupstairs" 2
"518" 2 "walkingupstairs" 2
"519" 2 "walkingupstairs" 2
"520" 2 "walkingupstairs" 2
"521" 2 "walkingupstairs" 2
"522" 2 "walkingupstairs" 2
"523" 5 "standing" 5
"524" 5 "standing" 5
"525" 5 "standing" 5
"526" 5 "standing" 5
"527" 5 "standing" 5
"528" 5 "standing" 5
"529" 5 "standing" 5
"530" 5 "standing" 5
"531" 5 "standing" 5
"532" 5 "standing" 5
"533" 5 "standing" 5
"534" 5 "standing" 5
"535" 5 "standing" 5
"536" 5 "standing" 5
"537" 5 "standing" 5
"538" 5 "standing" 5
"539" 5 "standing" 5
"540" 5 "standing" 5
"541" 5 "standing" 5
"542" 5 "standing" 5
"543" 5 "standing" 5
"544" 5 "standing" 5
"545" 5 "standing" 5
"546" 5 "standing" 5
"547" 5 "standing" 5
"548" 5 "standing" 5
"549" 5 "standing" 5
"550" 5 "standing" 5
"551" 5 "standing" 5
"552" 5 "standing" 5
"553" 4 "sitting" 4
"554" 4 "sitting" 4
"555" 4 "sitting" 4
"556" 4 "sitting" 4
"557" 4 "sitting" 4
"558" 4 "sitting" 4
"559" 4 "sitting" 4
"560" 4 "sitting" 4
"561" 4 "sitting" 4
"562" 4 "sitting" 4
"563" 4 "sitting" 4
"564" 4 "sitting" 4
"565" 4 "sitting" 4
"566" 4 "sitting" 4
"567" 4 "sitting" 4
"568" 4 "sitting" 4
"569" 4 "sitting" 4
"570" 4 "sitting" 4
"571" 4 "sitting" 4
"572" 4 "sitting" 4
"573" 4 "sitting" 4
"574" 4 "sitting" 4
"575" 4 "sitting" 4
"576" 4 "sitting" 4
"577" 4 "sitting" 4
"578" 4 "sitting" 4
"579" 6 "laying" 6
"580" 6 "laying" 6
"581" 6 "laying" 6
"582" 6 "laying" 6
"583" 6 "laying" 6
"584" 6 "laying" 6
"585" 6 "laying" 6
"586" 6 "laying" 6
"587" 6 "laying" 6
"588" 6 "laying" 6
"589" 6 "laying" 6
"590" 6 "laying" 6
"591" 6 "laying" 6
"592" 6 "laying" 6
"593" 6 "laying" 6
"594" 6 "laying" 6
"595" 6 "laying" 6
"596" 6 "laying" 6
"597" 6 "laying" 6
"598" 6 "laying" 6
"599" 6 "laying" 6
"600" 6 "laying" 6
"601" 6 "laying" 6
"602" 6 "laying" 6
"603" 6 "laying" 6
"604" 6 "laying" 6
"605" 6 "laying" 6
"606" 6 "laying" 6
"607" 6 "laying" 6
"608" 6 "laying" 6
"609" 6 "laying" 6
"610" 6 "laying" 6
"611" 1 "walking" 1
"612" 1 "walking" 1
"613" 1 "walking" 1
"614" 1 "walking" 1
"615" 1 "walking" 1
"616" 1 "walking" 1
"617" 1 "walking" 1
"618" 1 "walking" 1
"619" 1 "walking" 1
"620" 1 "walking" 1
"621" 1 "walking" 1
"622" 1 "walking" 1
"623" 1 "walking" 1
"624" 1 "walking" 1
"625" 1 "walking" 1
"626" 1 "walking" 1
"627" 1 "walking" 1
"628" 1 "walking" 1
"629" 1 "walking" 1
"630" 1 "walking" 1
"631" 1 "walking" 1
"632" 1 "walking" 1
"633" 1 "walking" 1
"634" 1 "walking" 1
"635" 1 "walking" 1
"636" 1 "walking" 1
"637" 1 "walking" 1
"638" 3 "walkingdownstairs" 3
"639" 3 "walkingdownstairs" 3
"640" 3 "walkingdownstairs" 3
"641" 3 "walkingdownstairs" 3
"642" 3 "walkingdownstairs" 3
"643" 3 "walkingdownstairs" 3
"644" 3 "walkingdownstairs" 3
"645" 3 "walkingdownstairs" 3
"646" 3 "walkingdownstairs" 3
"647" 3 "walkingdownstairs" 3
"648" 3 "walkingdownstairs" 3
"649" 3 "walkingdownstairs" 3
"650" 3 "walkingdownstairs" 3
"651" 3 "walkingdownstairs" 3
"652" 3 "walkingdownstairs" 3
"653" 3 "walkingdownstairs" 3
"654" 3 "walkingdownstairs" 3
"655" 3 "walkingdownstairs" 3
"656" 3 "walkingdownstairs" 3
"657" 3 "walkingdownstairs" 3
"658" 3 "walkingdownstairs" 3
"659" 3 "walkingdownstairs" 3
"660" 3 "walkingdownstairs" 3
"661" 3 "walkingdownstairs" 3
"662" 3 "walkingdownstairs" 3
"663" 3 "walkingdownstairs" 3
"664" 2 "walkingupstairs" 2
"665" 2 "walkingupstairs" 2
"666" 2 "walkingupstairs" 2
"667" 2 "walkingupstairs" 2
"668" 2 "walkingupstairs" 2
"669" 2 "walkingupstairs" 2
"670" 2 "walkingupstairs" 2
"671" 2 "walkingupstairs" 2
"672" 2 "walkingupstairs" 2
"673" 2 "walkingupstairs" 2
"674" 2 "walkingupstairs" 2
"675" 2 "walkingupstairs" 2
"676" 2 "walkingupstairs" 2
"677" 2 "walkingupstairs" 2
"678" 2 "walkingupstairs" 2
"679" 2 "walkingupstairs" 2
"680" 2 "walkingupstairs" 2
"681" 2 "walkingupstairs" 2
"682" 2 "walkingupstairs" 2
"683" 2 "walkingupstairs" 2
"684" 2 "walkingupstairs" 2
"685" 2 "walkingupstairs" 2
"686" 2 "walkingupstairs" 2
"687" 2 "walkingupstairs" 2
"688" 2 "walkingupstairs" 2
"689" 5 "standing" 5
"690" 5 "standing" 5
"691" 5 "standing" 5
"692" 5 "standing" 5
"693" 5 "standing" 5
"694" 5 "standing" 5
"695" 5 "standing" 5
"696" 5 "standing" 5
"697" 5 "standing" 5
"698" 5 "standing" 5
"699" 5 "standing" 5
"700" 5 "standing" 5
"701" 5 "standing" 5
"702" 5 "standing" 5
"703" 5 "standing" 5
"704" 5 "standing" 5
"705" 5 "standing" 5
"706" 5 "standing" 5
"707" 5 "standing" 5
"708" 5 "standing" 5
"709" 5 "standing" 5
"710" 5 "standing" 5
"711" 5 "standing" 5
"712" 5 "standing" 5
"713" 5 "standing" 5
"714" 5 "standing" 5
"715" 5 "standing" 5
"716" 5 "standing" 5
"717" 4 "sitting" 4
"718" 4 "sitting" 4
"719" 4 "sitting" 4
"720" 4 "sitting" 4
"721" 4 "sitting" 4
"722" 4 "sitting" 4
"723" 4 "sitting" 4
"724" 4 "sitting" 4
"725" 4 "sitting" 4
"726" 4 "sitting" 4
"727" 4 "sitting" 4
"728" 4 "sitting" 4
"729" 4 "sitting" 4
"730" 4 "sitting" 4
"731" 4 "sitting" 4
"732" 4 "sitting" 4
"733" 4 "sitting" 4
"734" 4 "sitting" 4
"735" 4 "sitting" 4
"736" 4 "sitting" 4
"737" 4 "sitting" 4
"738" 4 "sitting" 4
"739" 4 "sitting" 4
"740" 6 "laying" 6
"741" 6 "laying" 6
"742" 6 "laying" 6
"743" 6 "laying" 6
"744" 6 "laying" 6
"745" 6 "laying" 6
"746" 6 "laying" 6
"747" 6 "laying" 6
"748" 6 "laying" 6
"749" 6 "laying" 6
"750" 6 "laying" 6
"751" 6 "laying" 6
"752" 6 "laying" 6
"753" 6 "laying" 6
"754" 6 "laying" 6
"755" 6 "laying" 6
"756" 6 "laying" 6
"757" 6 "laying" 6
"758" 6 "laying" 6
"759" 6 "laying" 6
"760" 6 "laying" 6
"761" 6 "laying" 6
"762" 6 "laying" 6
"763" 6 "laying" 6
"764" 6 "laying" 6
"765" 6 "laying" 6
"766" 6 "laying" 6
"767" 6 "laying" 6
"768" 1 "walking" 1
"769" 1 "walking" 1
"770" 1 "walking" 1
"771" 1 "walking" 1
"772" 1 "walking" 1
"773" 1 "walking" 1
"774" 1 "walking" 1
"775" 1 "walking" 1
"776" 1 "walking" 1
"777" 1 "walking" 1
"778" 1 "walking" 1
"779" 1 "walking" 1
"780" 1 "walking" 1
"781" 1 "walking" 1
"782" 1 "walking" 1
"783" 1 "walking" 1
"784" 1 "walking" 1
"785" 1 "walking" 1
"786" 1 "walking" 1
"787" 1 "walking" 1
"788" 1 "walking" 1
"789" 1 "walking" 1
"790" 1 "walking" 1
"791" 1 "walking" 1
"792" 1 "walking" 1
"793" 1 "walking" 1
"794" 1 "walking" 1
"795" 1 "walking" 1
"796" 1 "walking" 1
"797" 1 "walking" 1
"798" 3 "walkingdownstairs" 3
"799" 3 "walkingdownstairs" 3
"800" 3 "walkingdownstairs" 3
"801" 3 "walkingdownstairs" 3
"802" 3 "walkingdownstairs" 3
"803" 3 "walkingdownstairs" 3
"804" 3 "walkingdownstairs" 3
"805" 3 "walkingdownstairs" 3
"806" 3 "walkingdownstairs" 3
"807" 3 "walkingdownstairs" 3
"808" 3 "walkingdownstairs" 3
"809" 3 "walkingdownstairs" 3
"810" 3 "walkingdownstairs" 3
"811" 3 "walkingdownstairs" 3
"812" 3 "walkingdownstairs" 3
"813" 3 "walkingdownstairs" 3
"814" 3 "walkingdownstairs" 3
"815" 3 "walkingdownstairs" 3
"816" 3 "walkingdownstairs" 3
"817" 3 "walkingdownstairs" 3
"818" 3 "walkingdownstairs" 3
"819" 3 "walkingdownstairs" 3
"820" 3 "walkingdownstairs" 3
"821" 3 "walkingdownstairs" 3
"822" 3 "walkingdownstairs" 3
"823" 2 "walkingupstairs" 2
"824" 2 "walkingupstairs" 2
"825" 2 "walkingupstairs" 2
"826" 2 "walkingupstairs" 2
"827" 2 "walkingupstairs" 2
"828" 2 "walkingupstairs" 2
"829" 2 "walkingupstairs" 2
"830" 2 "walkingupstairs" 2
"831" 2 "walkingupstairs" 2
"832" 2 "walkingupstairs" 2
"833" 2 "walkingupstairs" 2
"834" 2 "walkingupstairs" 2
"835" 2 "walkingupstairs" 2
"836" 2 "walkingupstairs" 2
"837" 2 "walkingupstairs" 2
"838" 2 "walkingupstairs" 2
"839" 2 "walkingupstairs" 2
"840" 2 "walkingupstairs" 2
"841" 2 "walkingupstairs" 2
"842" 2 "walkingupstairs" 2
"843" 2 "walkingupstairs" 2
"844" 2 "walkingupstairs" 2
"845" 2 "walkingupstairs" 2
"846" 2 "walkingupstairs" 2
"847" 2 "walkingupstairs" 2
"848" 5 "standing" 5
"849" 5 "standing" 5
"850" 5 "standing" 5
"851" 5 "standing" 5
"852" 5 "standing" 5
"853" 5 "standing" 5
"854" 5 "standing" 5
"855" 5 "standing" 5
"856" 5 "standing" 5
"857" 5 "standing" 5
"858" 5 "standing" 5
"859" 5 "standing" 5
"860" 5 "standing" 5
"861" 5 "standing" 5
"862" 5 "standing" 5
"863" 5 "standing" 5
"864" 5 "standing" 5
"865" 5 "standing" 5
"866" 5 "standing" 5
"867" 5 "standing" 5
"868" 5 "standing" 5
"869" 5 "standing" 5
"870" 5 "standing" 5
"871" 5 "standing" 5
"872" 5 "standing" 5
"873" 5 "standing" 5
"874" 5 "standing" 5
"875" 5 "standing" 5
"876" 4 "sitting" 4
"877" 4 "sitting" 4
"878" 4 "sitting" 4
"879" 4 "sitting" 4
"880" 4 "sitting" 4
"881" 4 "sitting" 4
"882" 4 "sitting" 4
"883" 4 "sitting" 4
"884" 4 "sitting" 4
"885" 4 "sitting" 4
"886" 4 "sitting" 4
"887" 4 "sitting" 4
"888" 4 "sitting" 4
"889" 4 "sitting" 4
"890" 4 "sitting" 4
"891" 4 "sitting" 4
"892" 4 "sitting" 4
"893" 4 "sitting" 4
"894" 4 "sitting" 4
"895" 4 "sitting" 4
"896" 4 "sitting" 4
"897" 6 "laying" 6
"898" 6 "laying" 6
"899" 6 "laying" 6
"900" 6 "laying" 6
"901" 6 "laying" 6
"902" 6 "laying" 6
"903" 6 "laying" 6
"904" 6 "laying" 6
"905" 6 "laying" 6
"906" 6 "laying" 6
"907" 6 "laying" 6
"908" 6 "laying" 6
"909" 6 "laying" 6
"910" 6 "laying" 6
"911" 6 "laying" 6
"912" 6 "laying" 6
"913" 6 "laying" 6
"914" 6 "laying" 6
"915" 6 "laying" 6
"916" 6 "laying" 6
"917" 6 "laying" 6
"918" 6 "laying" 6
"919" 6 "laying" 6
"920" 6 "laying" 6
"921" 1 "walking" 1
"922" 1 "walking" 1
"923" 1 "walking" 1
"924" 1 "walking" 1
"925" 1 "walking" 1
"926" 1 "walking" 1
"927" 1 "walking" 1
"928" 1 "walking" 1
"929" 1 "walking" 1
"930" 1 "walking" 1
"931" 1 "walking" 1
"932" 1 "walking" 1
"933" 1 "walking" 1
"934" 1 "walking" 1
"935" 1 "walking" 1
"936" 1 "walking" 1
"937" 1 "walking" 1
"938" 1 "walking" 1
"939" 1 "walking" 1
"940" 1 "walking" 1
"941" 1 "walking" 1
"942" 1 "walking" 1
"943" 1 "walking" 1
"944" 1 "walking" 1
"945" 1 "walking" 1
"946" 1 "walking" 1
"947" 3 "walkingdownstairs" 3
"948" 3 "walkingdownstairs" 3
"949" 3 "walkingdownstairs" 3
"950" 3 "walkingdownstairs" 3
"951" 3 "walkingdownstairs" 3
